Local;Local sem codigo;Endereço;Latitude;Longitude
1244 - EEEFM ALEXANDRE ZACARIAS DE ASSUMPÇÃO;EEEFM ALEXANDRE ZACARIAS DE ASSUMPÇÃO;Rua, Tv. Barão de Mamoré, s/n - Guamá, Belém - PA, 66073-070;-1.466301;-48.466076
1252 - EMEIF FRANCISCO DA SILVA NUNES;EMEIF FRANCISCO DA SILVA NUNES;R. dos Caripunas, 3554 - Guamá, Belém - PA, 66033-442;-1.460127;-48.470865
1260 - EMEF PADRE LEANDRO PINHEIRO;EMEF PADRE LEANDRO PINHEIRO;R. Barão de Igarapé Miri, 619 - Guamá, Belém - PA, 66075-048;-1.467311;-48.463015
1279 - EEEFM SANTOS DUMONT;EEEFM SANTOS DUMONT;Alameda Intendente Cel. Antônio Pimenta Magalhães - Guamá, Belém - PA, 66073-260;-1.457759;-48.462913
1295 - ERCEIF BENTO XV;ERCEIF BENTO XV;Av. José Bonifácio, 1025 - Guamá, Belém - PA, 66063-010;-1.456724;-48.468880
1317 - EEEF FREI DANIEL DE SAMARAT;EEEF FREI DANIEL DE SAMARAT;Tv. Liberato de Castro, 573 - Guamá, Belém - PA, 66075-420;-1.467289;-48.463472
1333 - LAR FABIANO DE CRISTO (CASA DE JOSÉ);LAR FABIANO DE CRISTO (CASA DE JOSÉ);R. Barão de Igarapé Miri, 527 - Guamá, Belém - PA, 66075-000;-1.466650;-48.463703
1953 - EEEFM BARÃO DE IGARAPÉ MIRI;EEEFM BARÃO DE IGARAPÉ MIRI;Passagem Barão de Mamoré, 767 - Guamá, Belém - PA, 66075-051;-1.465769;-48.466109
1970 - ERCEIF  MONSENHOR AZEVEDO;ERCEIF  MONSENHOR AZEVEDO;Av. Alcindo Cacela, 4197 - Condor, Belém - PA, 66065-205;-1.472028;-48.475505
1988 - EEEF DONA ALZIRA TEIXEIRA DE SOUZA;EEEF DONA ALZIRA TEIXEIRA DE SOUZA;Tv. Tupinambás, 2218 - Condor, Belém - PA, 66025-686;-1.473457;-48.478747
1996 - EEEF ANTONIA PAES DA SILVA;EEEF ANTONIA PAES DA SILVA;Tv. Padre Eutíquio - Condor, Belém - PA, 66045-225;-1.467214;-48.481989
2003 - EMEIF ROTARY;EMEIF ROTARY;R. Lauro Malcher, 279 - Condor, Belém - PA, 66033-410;-1.472006;-48.478444
2011 - EMEIF SILVIO NASCIMENTO;EMEIF SILVIO NASCIMENTO;Av. Alcindo Cacela, 4146 - Condor, Belém - PA, 66065-205;-1.473389;-48.476105
2020 - EMEIF MIGUEL PERNAMBUCO FILHO;EMEIF MIGUEL PERNAMBUCO FILHO;Condor, Belém - PA, 66033-683;-1.472776;-48.482040
2038 - EMEIF NESTOR NONATO DE LIMA;EMEIF NESTOR NONATO DE LIMA;Passagem Radional II - Condor, Belém - PA, 66033-220;-1.475287;-48.483061
2046 - EEEFM EDGAR PINHEIRO PORTO;EEEFM EDGAR PINHEIRO PORTO;4172, Passagem Nove de Janeiro - Cremação, Belém - PA;-1.474344;-48.474644
2054 - EMEIF PROF. ANTONIO CARVALHO BRASIL;EMEIF PROF. ANTONIO CARVALHO BRASIL;Condor, Belém - PA, 66065-155;-1.470013;-48.476229
2062 - UNIDADE PEDAGÓGICA DO COMBU - ILHA DO COMBU;UNIDADE PEDAGÓGICA DO COMBU - ILHA DO COMBU;Outeiro, Belém - PA;-1.500336;-48.451588
2070 - UNIDADE PEDAGÓGICA SANTO ANTÔNIO - PIRIQUITAQUARA;UNIDADE PEDAGÓGICA SANTO ANTÔNIO - PIRIQUITAQUARA;Outeiro, Belém - PA;-1.270894;-48.522534
2089 - UNIDADE PEDAGÓGICA SÃO JOSÉ - ILHA GRANDE;UNIDADE PEDAGÓGICA SÃO JOSÉ - ILHA GRANDE;Outeiro, Acará - PA;-1.498284;-48.402260
2100 - ESCOLA MUNICIPAL EDSON LUIS;ESCOLA MUNICIPAL EDSON LUIS;R. Barão de Igarapé Miri, N°1400 - Guamá, Belém - PA, 66075-048;-1.467740;-48.455988
1031 - EEEFM MARIA ANTONIETA SERRA FREIRE;EEEFM MARIA ANTONIETA SERRA FREIRE;Avenida Contorno Sul - s/n, Belém - PA, 66813-300;-1.299351;-48.465434
1040 - EEETEPA PROF FCO. DAS CHAGAS RIBEIRO DE AZEVEDO - CACAU;EEETEPA PROF FCO. DAS CHAGAS RIBEIRO DE AZEVEDO - CACAU;Av, R. Monsenhor José Maria Azevedo, S/N - Campina, Belém - PA, 66813-030;-1.294643;-48.472386
1066 - EEEFM PROF PORANGA JUCÁ;EEEFM PROF PORANGA JUCÁ;CONJ. COHAB, Av. Contôrno Norte - Campina de Icoaraci, Belém - PA;-1.297061;-48.466499
1074 - EEEFM IZABEL DOS SANTOS DIAS;EEEFM IZABEL DOS SANTOS DIAS;R. Oito de Maio, 252 - Campina de Icoaraci (Icoaraci), Belém - PA, 66813-085;-1.292791;-48.470877
1163 - EEEF PROF IOLANDA LEDUC PERALTA;EEEF PROF IOLANDA LEDUC PERALTA;R. I da Campína, 263 - Campina de Icoaraci, Belém - PA, 66813-610;-1.295012;-48.474908
1171 - EMEF AVERTANO ROCHA (MUNICIPAL);EMEF AVERTANO ROCHA (MUNICIPAL);Tv. Itaboraí - Cruzeiro (Icoraci), Belém - PA, 66810-030;-1.302283;-48.483059
1236 - COLÉGIO NOSSA SENHORA DE LOURDES;COLÉGIO NOSSA SENHORA DE LOURDES;Rua Padre Júlio Maria 810 - Esquina Com a Tv S Roque - Icoaraci - Cruzeiro (Icoraci), Belém - PA;-1.300450;-48.486056
1244 - EEEFM CORONEL SARMENTO;EEEFM CORONEL SARMENTO;Proximo A Visao, 580 - R. Manoel Barata, 580 - Icoaraci, Belém - PA, 66810-100;-1.299567;-48.487640
1252 - ESCOLA LÍRIOS DO CAMPO;ESCOLA LÍRIOS DO CAMPO;Tv São Roque 1198 - Entre R 2 de Dezembro e R Sta Isabel - Icoaraci - Cruzeiro (Icoraci), Belém - PA;-1.299950;-48.478648
1295 - EMEF PROF ALFREDO CHAVES;EMEF PROF ALFREDO CHAVES;R. Dois de Dezembro - Cruzeiro (Icoraci), Belém - PA;-1.299120;-48.477849
1325 - ESCOLA MADRE CELESTE;ESCOLA MADRE CELESTE;Cruzeiro (Icoraci), Belém - PA, 66810-100;-1.300654;-48.487558
1376 - EEEF MARTA DA CONCEIÇÃO;EEEF MARTA DA CONCEIÇÃO;Outeiro, Belém - PA;-1.263739;-48.560349
1392 - ESCOLA EDUARDO MILLER;ESCOLA EDUARDO MILLER;Av. Dr. Lopo de Castro, 899 - Cruzeiro (Icoraci), Belém - PA, 66810-000;-1.298053;-48.481410
2860 - EEEF GUAJARINA DE SOUZA DA SILVA;EEEF GUAJARINA DE SOUZA DA SILVA;Av. Dr. Lopo de Castro, 1005 - Cruzeiro (Icoraci), Belém - PA, 66810-000;-1.298022;-48.480678
1414 - UNID. EDUC. INFANTIL CASA DA AMIZADE;UNID. EDUC. INFANTIL CASA DA AMIZADE;R. Padre Júlio Maria, 178 - Cruzeiro (Icoraci), Belém - PA, 66810-060;-1.294986;-48.485880
1457 - EMEF MONSENHOR JOSÉ MARIA AZEVEDO;EMEF MONSENHOR JOSÉ MARIA AZEVEDO;353, R. Beira Mar, 55 - Itaiteua, Belém - PA;-1.272454;-48.448203
1449 - EEEFM DO OUTEIRO;EEEFM DO OUTEIRO;R. Manoel Barata, 1242 - São João do Outeiro, Belém - PA, 66840-040;-1.264506;-48.463635
2879 - IGREJA PENTECOSTAL LIDERANÇA DE CRISTO;IGREJA PENTECOSTAL LIDERANÇA DE CRISTO;Tv. Itaboraí, 46 - Cruzeiro (Icoraci), Belém - PA, 66810-030;-1.302581;-48.488658
2348 - EMEIF DR LAURO CHAVES;EMEIF DR LAURO CHAVES;Baía do Sol, Belém - PA;-1.063468;-48.333611
2356 - EEEFM PROF ABELARDO LEÃO CONDURU;EEEFM PROF ABELARDO LEÃO CONDURU;Prox Ao Cemiterio - R. Lalor Mota, Sn - Carananduba (Mosqueiro), Belém - PA, 66923-060;-1.094532;-48.398599
2364 - EMEIF PROF ABEL MARTINS E SILVA;EMEIF PROF ABEL MARTINS E SILVA;R. Lalor Mota, n° 551 - Carananduba (Mosqueiro), Belém - PA, 66923-060;-1.093316;-48.405401
2402 - EMEF REMÍGIO FERNANDES;EMEF REMÍGIO FERNANDES;Tv. Maracajá, 01 - Maracajá, Belém - PA, 66911-010;-1.167608;-48.461672
2380 - EEEF PROF BRUNO DE MENEZES;EEEF PROF BRUNO DE MENEZES;Av. 16 de Novembro, 356 - São João do Outeiro (Outeiro), Belém - PA;-1.131260;-48.453363
2399 - EEEF PROF DONATILA SANTANA LOPES;EEEF PROF DONATILA SANTANA LOPES;Estrada da Bateria, 869 - Farol, Belém - PA;-1.136279;-48.460976
2410 - EMEF ANGELUS NASCIMENTO;EMEF ANGELUS NASCIMENTO;Av. 16 de Novembro, 27761-27875 - São João do Outeiro (Outeiro), Belém - PA;-1.084542;-48.367256
2429 - AGÊNCIA DISTRITAL DE MOSQUEIRO;AGÊNCIA DISTRITAL DE MOSQUEIRO;R. 15 de Novembro, 664 - Vila, Belém - PA;-1.163835;-48.468432
2437 - EEEFM HONORATO FILGUEIRAS;EEEFM HONORATO FILGUEIRAS;Trav Siqueira Mendes S/N - Mosqueiro - Vila, Belém - PA;-1.165217;-48.464033
2445 - EEEF INGLÊS DE SOUZA;EEEF INGLÊS DE SOUZA;Vila, Belém - PA;-1.161349;-48.470395
2453 - EMEF ANA BARREAU DE MININEA;EMEF ANA BARREAU DE MININEA;RUA DOUTOR JOSE MARIANO CAVALEIRO DE MACEDO, SN ARIRAMBA. ARIRAMBA - MOSQUEIRO. 66919-140 Belém - PA.;-1.124623;-48.425056
1767 - EEEF SÃO PEDRO;EEEF SÃO PEDRO;Rua Japana - Entre Jutai E Cumaru -Parac, Paracuri, Sn Icoaraci - Paracuri 1(Icoaraci), Belém - PA, 66814-190;-1.314050;-48.477658
2569 - FUNDAÇÃO ESCOLA BOSQUE DO OUTEIRO;FUNDAÇÃO ESCOLA BOSQUE DO OUTEIRO;Av. Nossa Sra. da Conceição - São João do Outeiro (Outeiro), Belém - PA, 66840-450;-1.262073;-48.467335
2550 - EMEF PROF HELDER FIALHO DIAS;EMEF PROF HELDER FIALHO DIAS;R. das Orquídeas, S/N - Brasília, Belém - PA, 66845-410;-1.279805;-48.470703
2607 - EMEIF CIRO PIMENTA;EMEIF CIRO PIMENTA;Parque Guajará, Belém - PA, 66821-590;-1.315425;-48.463412
2623 - ESCOLA MUNICIPAL AYRTON SENNA;ESCOLA MUNICIPAL AYRTON SENNA;Parque Guajará, Belém - PA, 66821-030;-1.329130;-48.454166
2666 - EMEIF PROF PEDRO DEMO;EMEIF PROF PEDRO DEMO;Praça do Estacionamento da Praia do Amor, S/N Entre Atlântica e Rua, Tv. Ipanema;-1.248863;-48.457710
2658 - UNIDADE PEDAGÓGICA FIDÉLIS;UNIDADE PEDAGÓGICA FIDÉLIS;Outeiro, Belém - PA;-1.275069;-48.432024
2712 - EEEF DR RODOLFO TOURINHO;EEEF DR RODOLFO TOURINHO;Estrada Velha Do Outeiro, Distrito De Icoaraci, Sn - Maracacuera, Belém - PA, 66813-250;-1.292715;-48.461438
2720 - EMEF DES MAROJA NETO;EMEF DES MAROJA NETO;Estr. do São Francisco, s/n - São Francisco, Belém - PA, 66915-120;-1.108925;-48.419172
2704 - EEEF PROF LUIZA DE BARROS PIRES;EEEF PROF LUIZA DE BARROS PIRES;Furo Das Marinhas - Rod. Eng. Augusto Meira Filho - Mosqueiro, Belém - PA, 66923-120;-1.170477;-48.333671
2763 - EEEF FRANKLIN DE MENEZES;EEEF FRANKLIN DE MENEZES;Rua Franklin De Menezes, Proximo, Rua Gadelha, 923 - Outeiro, Belém - PA, 66843-810;-1.263131;-48.461309
2780 - CENTRO DE RECUPERAÇÃO DE MOSQUEIRO;CENTRO DE RECUPERAÇÃO DE MOSQUEIRO;Mosqueiro, Belém - PA;-1.150804;-48.378532
