Local;Local sem codigo;Endereço;Latitude;Longitude
1546 - EM SABINO BARRETO;EM SABINO BARRETO;116, Av. Hélio Amanajás, 102 - Águas Negras, Belém - PA;-1.303071;-48.455534
1554 - EMEF OGILVANISE MOREIRA DE MOURA;EMEF OGILVANISE MOREIRA DE MOURA;Tv. Souza Franco - Agulha, Belém - PA, 66812-430;-1.303839;-48.474841
1562 - EMEF MARIA MADALENA CORREA RAAD;EMEF MARIA MADALENA CORREA RAAD;156, Passagem São José de Ribamar, 100 - Agulha (Icoaraci), Belém - PA, 66811-510;-1.306549;-48.471476
1589 - EEEFM AVERTANO ROCHA (ESTADUAL);EEEFM AVERTANO ROCHA (ESTADUAL);Tv. Itaboraí - Cruzeiro (Icoraci), Belém - PA, 66810-030;-1.302278;-48.483063
1597 - ESCOLA DO SESI - ICOARACI;ESCOLA DO SESI - ICOARACI;R. Quinze de Agosto, 1435 - Cruzeiro (Icoraci), Belém - PA, 66810-070;-1.306146;-48.483174
1600 - EEEFM TEODORA BENTES;EEEFM TEODORA BENTES;R. Padre Júlio Maria, 1090 - Ponta Grossa, Belém - PA, 66812-470;-1.303240;-48.485340
1619 - EEEFM FELIZ LUSITÂNIA;EEEFM FELIZ LUSITÂNIA;Tv. Souza Franco, 220-326 - Agulha (Icoaraci), Belém - PA, 66811-880;-1.304646;-48.486363
1627 - EEEF PROF FERNANDA SOUZA DE OLIVEIRA;EEEF PROF FERNANDA SOUZA DE OLIVEIRA;Tv. Berredos, 691 - Ponta Grossa (Icoaraci), Belém - PA, 66812-440;-1.306608;-48.483281
1635 - EEEF XV DE NOVEMBRO;EEEF XV DE NOVEMBRO;Av. Augusto Montenegro, 3433 - Tenonã‰, Belém - PA, 66820-010;-1.324612;-48.449075
1643 - EEEFM FÉ EM DEUS;EEEFM FÉ EM DEUS;Passagem Fé Em Deus, 15 - Tenoné, Belém - PA, 66820-295;-1.313660;-48.454297
1651 - EEEFM PALMIRA GABRIEL;EEEFM PALMIRA GABRIEL;Av. Augusto Montenegro, 10 - Parque Guajara - Icoaraci, Belém - PA, 66645-001;-1.320540;-48.451289
1660 - EMEF PROF PAULO FREIRE;EMEF PROF PAULO FREIRE;Tv. 05 S/N - Cj. Bela Manuela. - Tenoné, Belém - PA;-1.325520;-48.437681
1678 - EEEF NOSSA SENHORA DE FÁTIMA II;EEEF NOSSA SENHORA DE FÁTIMA II;R. Oito de Maio, 39 - Agulha, Belém - PA, 66811-130;-1.302065;-48.469752
1686 - LICEU DE ARTES E OFÍCIOS MESTRE RAIMUNDO CARDOSO;LICEU DE ARTES E OFÍCIOS MESTRE RAIMUNDO CARDOSO;Tv. dos Andradas, 886 - Ponta Grossa (Icoaraci), Belém - PA, 66811-010;-1.308511;-48.480116
1694 - EEEFM TENONÉ;EEEFM TENONÉ;Conjunto COHAB Tenoné, Tv. WE 01 - Tenoné, Belém - PA;-1.321896;-48.432166
1716 - EEEF NOSSA SENHORA DAS GRAÇAS;EEEF NOSSA SENHORA DAS GRAÇAS;Passagem John Engelhard, 100 - Pratinha (Icoaraci), Belém - PA, 66816-030;-1.361403;-48.472556
1724 - ESCOLA MUNICIPAL PROF. JOSÉ ALVES CUNHA;ESCOLA MUNICIPAL PROF. JOSÉ ALVES CUNHA;R. Santos dos Santos - Tapanã (Icoaraci), Belém - PA, 66825-620;-1.327857;-48.467818
1015 - SEMINÁRIO TEOLÓGICO BATISTA EQUATORIAL;SEMINÁRIO TEOLÓGICO BATISTA EQUATORIAL;BR-316, Km 01, 6241 - Castanheira, Belém - PA, 66645-003;-1.404684;-48.431720
1023 - COLÉGIO SANTA MADRE;COLÉGIO SANTA MADRE;Av. Augusto Montenegro, 122 - Marambaia, Belém - PA, 66623-590;-1.401444;-48.434516
1031 - EEEIFM JARBAS PASSARINHO;EEEIFM JARBAS PASSARINHO;Passagem Boa Esperança, 284-316 - Souza, Belém - PA, 66613-110;-1.408363;-48.440048
1040 - EEF ANEXO MADRE CELESTE;EEF ANEXO MADRE CELESTE;R. Santa Odília, 124-236 - Castanheira, Belém - PA, 66645-500;-1.400675;-48.431985
1058 - DELEGACIA FEDERAL DE AGRICULTURA DO PARÁ;DELEGACIA FEDERAL DE AGRICULTURA DO PARÁ;Av. João Paulo II - Castanheira, Belém - PA;-1.413470;-48.437686
1066 - EE TANCREDO NEVES;EE TANCREDO NEVES;Passagem José de Alencar - Castanheira, Belém - PA, 66645-057;-1.407506;-48.425506
1252 - EM TEREZINHA SOUZA;EM TEREZINHA SOUZA;R. José Hassegawa - Castanheira, Belém - PA, 66645-070;-1.403752;-48.426548
1082 - EEEF CABANAGEM;EEEF CABANAGEM;Passagem Nossa Sra. Aparecida, 380 - Castanheira, Belém - PA, 66645-455;-1.409376;-48.431470
1287 - EMEIF PARQUE BOLONHA;EMEIF PARQUE BOLONHA;Tv. Terceira, 2 - Águas Lindas, Belém - PA, 66690-550;-1.411861;-48.394009
1104 - EMEIF OLGA BENÁRIO;EMEIF OLGA BENÁRIO;R. Rosa de Luxemburgo, s/n - Águas Lindas, Belém - PA, 66690-190;-1.405751;-48.392783
1260 - EEEFM MARECHAL CORDEIRO DE FARIAS;EEEFM MARECHAL CORDEIRO DE FARIAS;Av. Alm. Barroso, 3109 - Souza, Belém - PA, 66613-710;-1.424379;-48.451010
1171 - EEEFM PEDRO AMAZONAS PEDROSO;EEEFM PEDRO AMAZONAS PEDROSO;Av. Alm. Barroso, 4374 - Souza, Belém - PA, 66613-710;-1.414904;-48.444292
1180 - EEEIF COSTA E SILVA;EEEIF COSTA E SILVA;Av Almirante Barroso, Sn, S/N - Souza, Belém - PA, 66613-710;-1.413350;-48.443422
1198 - SETRAN - SECRETARIA DE ESTADO DE TRANSPORTE;SETRAN - SECRETARIA DE ESTADO DE TRANSPORTE;Av. Alm. Barroso, 3639 - Souza, Belém - PA, 66613-907;-1.419420;-48.448703
1201 - EEEFM ALBANIZIA DE OLIVEIRA;EEEFM ALBANIZIA DE OLIVEIRA;Av. Alm. Barroso, 3107 - Souza, Belém - PA, 66613-710;-1.425020;-48.451247
1295 - EEEF ALMIRANTE TAMANDARÉ;EEEF ALMIRANTE TAMANDARÉ;Conj. Cohab Rua We 2, Gleba 2, Sn - Marambaia, Belém - PA, 66623-282;-1.400425;-48.435671
1309 - EEEF DR. CARLOS GUIMARÃES;EEEF DR. CARLOS GUIMARÃES;Passagem K 4, Conj. Cohab, Sn - Marambaia, Belém - PA, 66623-295;-1.397149;-48.437286
1317 - EEEFM PROF. CORNÉLIO DE BARROS;EEEFM PROF. CORNÉLIO DE BARROS;Av Dalva, Entre Pedro Alvares Cabral E, Rua Cap. Braga, 743 - Marambaia, Belém - PA, 66615-850;-1.405240;-48.438822
1325 - EMEIF REPÚBLICA DE PORTUGAL;EMEIF REPÚBLICA DE PORTUGAL;R. Anchieta, 359 - Marambaia, Belém - PA, 66615-030;-1.402840;-48.444726
1333 - SÃO JOAQUIM ESPORTE CLUBE;SÃO JOAQUIM ESPORTE CLUBE;R. Anchieta, 225 - Marambaia, Belém - PA, 66615-030;-1.404636;-48.444320
1341 - EEEF VIRGÍNIA ALVES DA CUNHA;EEEF VIRGÍNIA ALVES DA CUNHA;Av Dalva, Entre Rua Samaritana E Sao Jorge, 400 - Marambaia, Belém - PA, 66615-850;-1.403784;-48.440949
1350 - EEEFM HILDA VIEIRA;EEEFM HILDA VIEIRA;Tv. Marapanim - Marambaia, Belém - PA, 66620-360;-1.396598;-48.455626
1368 - EEEMP INTEGRADO PROF. FRANCISCO DA SILVA NUNES;EEEMP INTEGRADO PROF. FRANCISCO DA SILVA NUNES;Av. Médici II, 195 - Marambaia, Belém - PA;-1.399158;-48.458360
1376 - EEEF PROFA LEONOR NOGUEIRA;EEEF PROFA LEONOR NOGUEIRA;R. Cafezal - Marambaia, Belém - PA, 66620-190;-1.397412;-48.459838
1384 - EMEIF PALMIRA LINS DE CARVALHO;EMEIF PALMIRA LINS DE CARVALHO;Conjunto Euclides Figueiredo, R. F - Marambaia, Belém - PA, 66620-770;-1.399107;-48.448496
1392 - ESCOLA ADVENTISTA DA MARAMBAIA;ESCOLA ADVENTISTA DA MARAMBAIA;Av. Dalva, 14 - Marambaia, Belém - PA, 66615-850;-1.407025;-48.437774
1406 - PARÓQUIA DE SÃO JORGE;PARÓQUIA DE SÃO JORGE;Av. Dalva, 445 - Marambaia, Belém - PA, 66615-850;-1.403809;-48.440499
1414 - EEEFM D. PEDRO I;EEEFM D. PEDRO I;Conj. Res. Marex - Val-de-Cans, Belém - PA, 66123-370;-1.397614;-48.472163
1422 - EEEF PRES. CASTELO BRANCO;EEEF PRES. CASTELO BRANCO;Conj Marex, R. São Paulo, Sn - Val de Caes, Belém - PA, 66617-050;-1.396906;-48.470712
1430 - EEEFM DUQUE DE CAXIAS;EEEFM DUQUE DE CAXIAS;Rua Raul Soares, R. da M.nha, Sn - Marambaia, Belém - PA, 66623-320;-1.396016;-48.440693
1449 - EEEM PROF TEMÍSTOCLES DE ARAUJO;EEEM PROF TEMÍSTOCLES DE ARAUJO;R. We-2 - Marambaia, Belém - PA, 66623-282;-1.400326;-48.439603
1457 - UNIDADE DE EDUCAÇÃO INFANTIL JARDIM NOVA VIDA;UNIDADE DE EDUCAÇÃO INFANTIL JARDIM NOVA VIDA;Av. Liberdade - Entroncamento, Belém - PA, 66690-797;-1.416933;-48.394128
1465 - FACULDADE COSMOPOLITA;FACULDADE COSMOPOLITA;Av. Tavares Bastos, 1313 - Marambaia, Belém - PA, 66615-005;-1.405013;-48.450204
1473 - ESCOLINHA MENDARA;ESCOLINHA MENDARA;Conjunto Mendara, R. H, 24 - Marambaia, Belém - PA, 66615-680;-1.404777;-48.455479
